Ticker,RSI_14,MACD,MACD_signal,MACD_hist,ROC_10,ROC_30,HV_20,HV_60,BB_pctB,BB_bandwidth,Price_SMA50_ratio,SMA50_SMA200_ratio,ret_1d,ret_5d,ret_21d,vol_ratio
AAPL,-0.022541763729616533,-0.26040532073603867,-0.2530936256635198,0.0678040426748297,0.5094693731370934,0.4820240098091773,-0.1023756788558971,-0.1502828248079923,-0.16680630174558814,-0.04669682130785832,0.01522462422355373,-0.5272830383304272,0.7194329574577507,-0.5414377499157105,-0.3474706599089897,0.0656914547727329
ABBV,-0.9706547264832537,-0.05886121619246348,0.145995092341892,-1.1975522684663478,-1.4981885026433361,-0.028248050826124867,0.6314068214213346,1.8434956144782142,-2.405936612922517,0.11222449057239861,-0.2501498359178846,-0.8419475737938882,-2.563156593623749,-2.3112059954880144,1.1118433388873206,-0.8539358216335494
ABT,-0.23416716330363166,-0.051210823204721,0.0035283709291952176,-0.30480970025364945,-0.2583597935284622,0.4079668240241188,-0.44173278330836196,-0.20422488749639486,-0.9002662835997849,-0.790806323451107,0.1934857331429564,-0.7514697587218768,-0.7034159395641418,-1.2178290940654704,-0.22919551248596873,-0.6833482486726531
ACGL,-1.9246909688302956,-0.5692313073292963,-0.5010871666205413,-0.16312309468826638,-1.0939334592966459,-1.1457226484421408,-1.2754575779383555,-1.1679855115918023,-2.428262219926185,-0.936816498273482,-1.0052641722147417,1.4154870684015666,-0.24964138127527943,-1.1196606022599584,-1.2052531445801522,-1.7770349788628033
ACN,0.2627909732868258,0.3155725777400507,0.3343988402671191,-0.24742587738127275,0.17502377324855697,0.12269417036479167,-0.7472660669019948,-0.8002066325994457,0.36572783066367587,-0.7192043374783008,0.09706019132484173,1.0062531349965564,0.119749873282012,-0.47800577822790724,-0.2240985977002445,-0.5422851681651047
ADBE,0.4651198754523746,0.7670335023088007,0.7970045151126062,-0.5071587606828891,-0.12130779339878056,0.006456013434912316,-0.9089373931002928,-0.14373821728087488,0.4157383988685438,-0.8977014201232937,0.30081166949502286,1.1409725374688486,-0.3933517471160784,-0.339523320397049,0.5069400842957299,-1.903308961847289
ADI,0.2745092338862011,-0.2510914890543785,-0.31362475220950153,0.48070749994209144,0.6854950536218836,-0.08674676367513243,0.7673265116063082,1.1956433525008598,1.2627663967292897,-0.27815741114898734,0.31101640276545106,-0.18258114131569145,2.1603902950676233,1.4722097352485113,0.336823438590052,-0.06240670684023323
ADSK,1.3777291154226343,1.7568494834385673,1.8138988709692936,-1.0923964707633134,0.43334450858047374,2.332228210957132,1.3570388810762701,0.9612237970352873,0.6868277031256076,0.6272907393626403,2.4495434631800297,-0.10744367145285107,0.9541465526281225,1.9596383117837999,2.386523193574686,1.2088269970044965
AEE,-0.11573691444326546,-0.37092112697036395,-0.3299587209445736,-0.08575222032960116,-0.4362230416247322,-0.4777344173554007,-0.180017763504436,-0.832812937745772,0.21992618395341532,-0.829937543311687,-0.2641260628149951,0.8973460912502929,1.303922030787765,-0.5216775556985047,0.01854864382845464,1.4094257023310341
AEP,-0.3236107736030248,-0.44558070617274315,-0.47070829920386215,0.34067689529492645,-0.3711145515526609,-0.7982029154537856,-0.36854362817372227,-0.7491665057043155,0.32418620930104597,-0.7529453205503261,-0.5428908586161111,0.38872029200824976,0.4466174031299875,-0.5852586095674954,-0.008356419448361484,0.5639997616187014
AES,-0.7133026986013902,-0.5250674753691245,-0.5300550349238092,0.2544834215810358,-0.3186281922306388,-1.1842726431855446,1.3029980937615826,0.6295121361099446,-0.292171051437383,1.2538755225618676,-0.981222999169515,-1.7628247337515897,0.3292585458735294,1.2910350260801982,-1.6162086810358862,1.6584183840741682
AIG,0.9703750729858318,0.14759782804828958,-0.011608406125737485,0.8871000955295942,0.9753793195646482,0.3550185976297821,-0.09326050669499251,-0.44893130559341443,1.1982525174732401,-0.1547790395612771,0.5191762184009533,0.3002235539287922,0.18193414078306416,0.8019336872074466,-0.09021961987697978,0.6720476818350943
AKAM,-2.051913932124953,-2.91615539578877,-2.8524679430231843,0.867893814129472,-1.1986878072233604,-2.7063101251674864,-0.02899415104546238,1.6610943424770686,-1.3198999643737337,0.7579294989175728,-2.7897590100489555,-0.8039675281012997,-0.1405887453445856,0.3645171932410134,-1.050817349464918,-1.6484680322444725
AMAT,2.4902908773785284,0.13064487906019653,0.02816250362733605,0.5557829765449025,1.539266976404842,1.9961221837611685,-0.2201291475796672,-0.27325707916456793,1.4288090982304456,1.4003880119269896,2.2027977892229456,-1.6510761908596414,1.0849730606132078,1.2628098785440105,1.9753943968531362,-0.013422072104310772
AMCR,3.5739679064959824,-0.2364633368941167,-0.25709804613350673,0.22436363014543123,-0.7955178654355893,-0.09439843618236632,-1.229121235112817,-2.0161487927127486,0.5866017171518293,-0.7617962878871565,-0.1648821686683775,-0.5825324312887071,0.3292585458735294,-0.17108739884276913,0.26801815413183566,1.7992429977732871
AMP,-0.7146295484424794,-0.42359770533630997,-0.133108915142049,-1.5525773937684624,-0.694934993677546,-0.15686534117584527,-0.4538300726412325,-0.34340441261522875,-1.3287449157775668,-0.3902462795011013,-0.36891761906639514,-0.8712575394373875,-0.13354359559568757,-0.765395839979613,-0.46229010238640716,-0.5007699283856729
AMT,-0.004532096735626926,0.05672036755715991,0.12891466560279735,-0.45518689545150925,-0.029871582949174504,0.03542099740246202,-0.5451332248697975,-0.6521230505115866,-0.2503239663867977,-0.19057616037681227,0.08142993551623368,0.30402255199398176,0.04694120387774305,-0.6591409331499618,-0.5275640591172502,-0.20247864833402943
ANET,0.8194908485373957,-0.29218620423874686,-0.3265948759138016,0.3304252265225359,2.347568036573729,0.699946087478026,2.6274013630834903,2.2750433016453457,0.9479260750312053,2.4530172907463594,1.304108206805046,-0.8107689689385038,0.9974695347902646,1.1280577810928982,1.9864640169457597,1.3341613447910585
AON,0.1969785488234486,0.10055391156254148,0.07474445826364458,0.11101688924607836,-0.36221234998719076,0.0790340146720663,-0.79012849968001,-0.9393304727984011,0.5766096549573201,-0.991305969466402,0.003975127128193865,-0.5213348897580279,0.4184714184601278,-0.22696972059982248,-0.1289434225468994,-0.3952353453207706
APA,-0.20790604680641755,0.23085519142114835,0.3795215323182874,-0.9861567328611849,-0.6900429284496363,0.3967451653374748,2.9403362224994782,2.7466497278314286,-0.691757488219764,0.44000098457423126,0.7649239628794237,-1.7629002979871848,-0.12629062663692997,-0.09908486008227954,0.8001597059822451,1.2015043002569719
APD,-0.8193779767908379,-0.20805971033884535,-0.07995252178843844,-0.6756006480859122,-0.8832537503518202,-0.5577899526979788,-0.8012175407546184,-0.5222024871522558,-1.2778000630762807,-0.8743385807746328,-0.41989687560615796,-0.4159442691850575,-0.35778054865003706,-0.9323868451999883,-0.16942086862318761,-1.1775944662767994
APH,0.19957865667878327,-0.3152899390446182,-0.30866300996309043,0.09538029885016755,0.15589346705298854,0.020965798452670385,-0.46980393348135857,-0.24242885917700197,0.5294706861308194,-0.8987610002384003,0.16677383667259474,-0.42860487907845973,0.4828713768314017,0.08723699238667726,0.08213944510161697,-0.6977860786740487
APO,-1.9416553018907954,-0.6830829590308491,-0.602572293404849,-0.18821099075216835,-2.2901338958930326,-1.6398061886254227,0.5087747700789382,0.13633471305712125,-1.4808902609403225,1.5342132085046023,-1.7868046476827704,-1.3024237320243488,0.2718223975403685,-0.8110383527656914,-1.6345512187195408,0.959924857753828
APTV,1.1085287994654853,0.8034874197278193,0.42042459102639607,1.9425500326022154,1.5263949330446518,0.6911531502960965,-0.25431805561352894,0.5997005783448788,1.4951045311462738,0.3027186729663379,0.9673261300562994,0.17511388368181754,0.6398378638329599,0.6848026710600872,1.5438430006140795,-1.2152985304148083
ARES,-2.1609530597109723,-0.8073617402379375,-0.7648145615255999,0.09157262220983259,-1.5773681853945984,-2.4033003746217227,0.6592558780989466,0.5941605203138882,-1.1093951247732359,2.9362289456874007,-2.8109390853068827,-0.991081906718184,0.06331450104118629,0.04981693513854181,-2.005198114988413,0.5102787184849079
ATO,0.3289139778008659,0.11556997782819589,0.05370961705750904,0.3197705456996147,0.21927914618877015,0.021545720430624953,-0.10298387414506135,-0.7048620416634287,0.4458558856133704,-0.21069941736593073,0.1885022297363136,1.3178255909586478,-0.4619434869130294,-0.31246068440086844,0.046134199355003985,1.2817699322449727
AVB,0.5143645482504845,0.39851377443135444,-0.10753905628812292,2.8499679123409547,0.5081585733743971,-0.49228675949820155,-0.3616924112671246,-0.7860100188084477,1.1629163636642241,-0.2118718269141634,-0.03538143235644766,0.7263530527052968,0.0411685002307702,0.2633144312639195,0.23976446200808735,0.6801774011458477
AWK,0.19866203658185333,-0.18928917889681213,-0.23646709555803747,0.3626051364155757,-0.026987006924685177,-0.44157459096188156,-0.11919262187918882,-0.8052482108364941,0.8895316942430137,-0.6928836522494527,-0.10161263142178162,0.9499516551176707,-0.13939053927655914,0.10601010117548001,0.1792539755935841,1.5253642529118134
AZO,0.1353176644800268,5.0752684470869305,5.639367428297078,-5.539053979269765,0.13334507000083465,0.35180306332438255,-0.49571273974861596,-0.8343121418766659,-0.16566810461805107,-0.7808738539164022,0.024353867556513326,1.1539069242879019,0.06787389784077695,-0.17390517285589377,-0.10213111954676003,0.36365457956375075
BAC,0.07239028403565004,-0.2332599513908369,-0.19173592839204331,-0.14801940839350153,-0.46659588515822165,0.6219789236953147,-0.14622157742848085,-0.05530342172080819,-0.46865810198095265,-0.5663479515396266,0.42418226681791665,0.14888361742559192,0.0609200149891603,-0.7218076577082736,0.21220244473818145,-0.19447977936107644
BAX,0.08872100409283491,-0.030889753810950694,0.04465264494161588,-0.43767637925446456,-0.7431460561965706,0.9766863735815589,-0.8770140658391593,-0.3659842475163414,-1.1362952979591556,-1.1314380844340466,0.4119065039088193,-0.3208196354505631,0.2545935125747676,-0.9322846519370075,-0.08729358042823131,-1.5890123816314876
BBY,-1.336286604925339,-1.0774945432034087,-1.0205611454949464,0.12131343781498936,-0.9951200935678369,-1.422508730184665,0.6647813351118749,0.2345483985597735,-0.8834288815645196,2.2711017965911315,-2.048610762765306,-0.01813559649122894,1.2232471479988125,1.6680806485882456,-1.3863012558361754,1.1132024386743737
BG,-1.642231400947675,-1.7174954315389237,-1.6171146104699385,0.13588707045430162,-1.3124786529001526,-2.099557575174474,0.34368031964039936,0.04272408985871855,-1.2153136565139988,0.698347156536301,-1.9207450702735023,-1.0982917863206778,-0.23069989359203674,0.5639658980746283,-1.6853574818258656,0.7665046147565028
BK,0.5957886711130849,0.03495205708320208,0.051360935936363226,-0.1128995364143113,-0.12106599208163642,0.6931804682074053,-0.6007929661475924,-0.3317434637032673,0.5355512614456925,-0.6900306147005997,0.5078456802176164,0.11133174334778892,0.2436853131548631,-0.07008230760787627,0.42250225168055494,-0.9046274085082223
BKNG,-1.8279585209980693,-1.5140761332661423,-1.09353382146095,-1.8621454945878357,-1.722369027349599,-1.1936173383801125,0.932679727655559,0.4438875736017744,-1.1900096287343,2.6524920574258473,-1.4853882971376131,0.9935956299170832,0.6201023626183727,-1.297795082362649,-2.1431512201101137,1.2804011640106014
BKR,0.3881215427474621,-0.4099708854100476,-0.6462587350087923,1.585806998914736,2.512714556875331,-0.32733971182127686,1.4113266575542553,1.0940964947837977,1.3369865866361956,0.8831040194381994,-0.0716039071653409,-1.2549151026182606,2.6219824968586742,2.479386826179446,0.3471891031582106,1.1041656242554503
BMY,0.2519799074875546,0.24886453642735692,0.17181086466714654,0.3534099148203591,0.30111706270420285,0.10052357269973451,-0.6504043827337034,0.16565218361518788,0.4098183117524836,-0.14762039606221927,0.3364345741119811,0.0845719963887917,-0.8320947663162155,-0.6987774260415168,-0.1863641878255386,-1.603654407264656
BRO,0.3178060407286243,-0.32988815990918285,-0.3426823148488419,0.2175481834519352,0.08353516466254957,0.11644536048264131,-0.9308020427374863,-1.0288278898003977,0.7931533866150313,-0.8559525117596791,-0.06893011034976404,-0.15328220852397192,0.5029938978172916,-0.3338282799097442,-0.13638593205766938,-0.7078572148949271
BX,-1.0173820279096903,-0.7395252344770836,-0.6926755946333383,0.03686008839843824,-0.29729251809125207,-1.3950309335944067,0.20647825300969522,0.9337857986869121,-0.8237615796692022,0.9433286002132907,-1.1642425926773525,-1.2238308944579526,1.0252240695415442,-0.10024775469274837,-1.3489380359960363,-0.713450458283513
BXP,-0.0894872817960456,0.03952599226355028,0.07427848710268159,-0.2243461409449911,-0.3690816940709083,-0.14253251645594223,-0.33949130018100054,-0.7077546881433969,-0.3394365088975408,-0.5200393530562062,-0.11380719917733984,-0.29767300308301187,-0.28959338712190447,-0.7054130414519366,0.18118047965709544,0.5530583416266169
CAH,0.2405480161854122,0.43187823737057496,0.5354446359825035,-0.8029969657766611,-0.4071298652953769,0.654090403420262,-0.12597988821382824,-0.3868261559500427,-0.5097357219363762,-0.8703489892472008,0.4100880990334957,-0.29004478246636817,-0.1435928775480214,-0.5443432385464373,0.6437191811247391,0.4503510707009035
CASY,0.6381631887763639,1.51614765065144,1.21408917668226,1.1540544418416752,0.41649162412992874,0.7575544374503423,-0.15329792001991235,-0.6152282556682673,0.7891148536230738,-0.1954459459188653,0.6196360310602221,1.6344221512223607,-1.3427609701815468,0.49624837933105964,1.3729584667853354,0.8912462740626614
CBRE,1.0642058845793794,0.13771820615952005,0.029619518428877323,0.5862783544972074,1.183354583400821,0.7284215919588809,-0.4057447726812002,0.3923080100354519,1.073052580633752,0.047408745106133424,0.8755867823281018,-0.3943046945432033,0.655852799243424,0.5601080395800739,-0.4931513901819246,-1.3113577893760269
CCL,-0.9760700386939334,-0.6006813713124153,-0.4559543718907208,-0.606769958687125,-1.1420488916307785,-0.4468731513662847,-0.5297344025410025,0.1340334025092922,-1.383484103361299,-0.24706628516025478,-0.6852997177338699,0.8151007750489669,-0.24270721252232802,-1.0705079064825183,-1.095914245784212,-1.309265666405155
CDNS,-0.13571896058807933,-0.30663388571604294,-0.23649092985799933,-0.28743772313137056,-0.7844844603965517,0.16752077077712782,0.3833284377672218,-0.3236732659602918,-0.4547939692938966,-0.36064668905742264,-0.03602795635405662,1.1828819584549224,0.035711365403089716,1.5369782704241879,0.07965993487083226,1.6536738635430102
CDW,-0.8072084417678423,-0.2292095023020996,-0.1728755143795426,-0.2381503740245454,-0.01940459141070504,-0.5726490034157716,0.5904892463472423,-0.08946435025430614,-0.9316374218555047,0.17352934507540693,-0.45884226643923165,1.5746672494906702,-1.752939032446133,-1.9603395678426105,-0.6498491252430484,1.6104465558578027
CF,-1.0547367388762527,-1.3486053637263828,-1.19079992605893,-0.3647424168634957,-1.7732826727952862,-1.7732442590240562,2.215536750585771,1.927157208854463,-0.8785057499111586,1.5962978775612315,-1.5024411478094344,-1.6919679090021114,2.471131341749403,2.0833563098705015,-1.666344488559716,1.2067340305096925
